"","variable","importance"
"3","mir.PC3",701.612420783111
"8","mir.PC8",251.410419877321
"61","hzn_depth",159.437034264544
"1","mir.PC1",148.778890758903
"14","mir.PC14",31.580883646399
"4","mir.PC4",23.4613608497386
"24","mir.PC24",19.3241230849395
"2","mir.PC2",18.658217018087
"76","clm_lst_mod11a2.jan.day_m_1km_s0..0cm_2000..2017_v1.0",13.8443095992079
"67","clm_lst_mod11a2.aug.day_m_1km_s0..0cm_2000..2017_v1.0",12.8210241632018
"7","mir.PC7",11.235345719369
"36","mir.PC36",10.2327118649602
"71","clm_lst_mod11a2.dec.daynight_m_1km_s0..0cm_2000..2017_v1.0",8.68709361938063
"18","mir.PC18",8.52983072805958
"10","mir.PC10",8.45940701106173
"19","mir.PC19",8.41648647096317
"17","mir.PC17",8.32115764344208
"12","mir.PC12",8.01506057007306
"107","clm_precipitation_worldclim.mar_m_1km_1990..2010_v2.1",6.74357926818398
"79","clm_lst_mod11a2.jul.day_m_1km_s0..0cm_2000..2017_v1.0",6.62820990310782
"11","mir.PC11",6.39021641369856
"15","mir.PC15",5.13165112337573
"21","mir.PC21",4.76654528693553
"103","clm_precipitation_worldclim.feb_m_1km_1990..2010_v2.1",4.76120314408081
"104","clm_precipitation_worldclim.jan_m_1km_1990..2010_v2.1",4.69230853754572
"9","mir.PC9",4.43461583728366
"20","mir.PC20",4.39698528849673
"5","mir.PC5",4.07676178190684
"95","clm_lst_mod11a2.oct.daynight_m_1km_s0..0cm_2000..2017_v1.0",4.04733489103806
"37","mir.PC37",3.73013239171485
"74","clm_lst_mod11a2.feb.daynight_m_1km_s0..0cm_2000..2017_v1.0",3.6472621067917
"65","clm_lst_mod11a2.apr.daynight_m_1km_s0..0cm_2000..2017_v1.0",3.6366629419646
"110","clm_precipitation_worldclim.oct_m_1km_1990..2010_v2.1",3.46599333099828
"49","mir.PC49",3.45893691419915
"27","mir.PC27",3.45264016117688
"23","mir.PC23",3.36862434268067
"16","mir.PC16",3.24947074176856
"43","mir.PC43",3.13757907046987
"55","mir.PC55",3.13070528348843
"77","clm_lst_mod11a2.jan.daynight_m_1km_s0..0cm_2000..2017_v1.0",3.10647721917886
"100","clm_precipitation_worldclim.apr_m_1km_1990..2010_v2.1",3.05627938199085
"82","clm_lst_mod11a2.jun.day_m_1km_s0..0cm_2000..2017_v1.0",2.99108389724857
"89","clm_lst_mod11a2.may.daynight_m_1km_s0..0cm_2000..2017_v1.0",2.96891150882601
"42","mir.PC42",2.79824106531219
"111","clm_precipitation_worldclim.sep_m_1km_1990..2010_v2.1",2.6660618272967
"92","clm_lst_mod11a2.nov.daynight_m_1km_s0..0cm_2000..2017_v1.0",2.65956860811447
"30","mir.PC30",2.60481130656601
"35","mir.PC35",2.58038752486241
"47","mir.PC47",2.57627091984234
"25","mir.PC25",2.47133696481791
"97","clm_lst_mod11a2.sep.day_m_1km_s0..0cm_2000..2017_v1.0",2.46853236336535
"41","mir.PC41",2.38797670995394
"29","mir.PC29",2.34721068938115
"34","mir.PC34",2.32227897422947
"13","mir.PC13",2.31146945118962
"109","clm_precipitation_worldclim.nov_m_1km_1990..2010_v2.1",2.28458508985098
"32","mir.PC32",2.26901132526151
"86","clm_lst_mod11a2.mar.daynight_m_1km_s0..0cm_2000..2017_v1.0",2.26895466290107
"28","mir.PC28",2.24318770160624
"123","clm_water.vapor.pressure_worldclim.sep_m_1km_1990..2010_v2.1",2.22672527668086
"50","mir.PC50",2.2108103347522
"31","mir.PC31",2.14962674477345
"45","mir.PC45",2.11998596333457
"38","mir.PC38",2.1157935713018
"51","mir.PC51",2.07707660861619
"53","mir.PC53",2.06449921286078
"40","mir.PC40",1.97969835674008
"102","clm_precipitation_worldclim.dec_m_1km_1990..2010_v2.1",1.94916880048372
"59","mir.PC59",1.89960398831099
"60","mir.PC60",1.87088601192454
"64","clm_lst_mod11a2.apr.day_m_1km_s0..0cm_2000..2017_v1.0",1.8519990632841
"39","mir.PC39",1.80189519830269
"56","mir.PC56",1.78092431265343
"57","mir.PC57",1.74463358641136
"58","mir.PC58",1.67627901378364
"101","clm_precipitation_worldclim.aug_m_1km_1990..2010_v2.1",1.67356289204808
"105","clm_precipitation_worldclim.jul_m_1km_1990..2010_v2.1",1.65527007249787
"83","clm_lst_mod11a2.jun.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.54066752798762
"98","clm_lst_mod11a2.sep.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.53302331272494
"44","mir.PC44",1.52849353709204
"120","clm_water.vapor.pressure_worldclim.may_m_1km_1990..2010_v2.1",1.48376757418398
"46","mir.PC46",1.45984735576704
"52","mir.PC52",1.35912090829883
"48","mir.PC48",1.28513170991277
"54","mir.PC54",1.27143110193624
"22","mir.PC22",1.24289315380178
"68","clm_lst_mod11a2.aug.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.21397581466502
"88","clm_lst_mod11a2.may.day_m_1km_s0..0cm_2000..2017_v1.0",1.04289931611218
"78","clm_lst_mod11a2.jan.night_m_1km_s0..0cm_2000..2017_v1.0",0.936244521872607
"85","clm_lst_mod11a2.mar.day_m_1km_s0..0cm_2000..2017_v1.0",0.935717273949135
"106","clm_precipitation_worldclim.jun_m_1km_1990..2010_v2.1",0.879937090496555
"66","clm_lst_mod11a2.apr.night_m_1km_s0..0cm_2000..2017_v1.0",0.868041283779292
"81","clm_lst_mod11a2.jul.night_m_1km_s0..0cm_2000..2017_v1.0",0.83064859190476
"90","clm_lst_mod11a2.may.night_m_1km_s0..0cm_2000..2017_v1.0",0.813332428089515
"72","clm_lst_mod11a2.dec.night_m_1km_s0..0cm_2000..2017_v1.0",0.785909548882862
"62","clm_lst_mod11a2.annual.day_m_1km_s0..0cm_2000..2017_v1.0",0.731031787372042
"96","clm_lst_mod11a2.oct.night_m_1km_s0..0cm_2000..2017_v1.0",0.717100319179015
"73","clm_lst_mod11a2.feb.day_m_1km_s0..0cm_2000..2017_v1.0",0.661194094227575
"69","clm_lst_mod11a2.aug.night_m_1km_s0..0cm_2000..2017_v1.0",0.641310589440569
"114","clm_water.vapor.pressure_worldclim.dec_m_1km_1990..2010_v2.1",0.625107880159143
"115","clm_water.vapor.pressure_worldclim.feb_m_1km_1990..2010_v2.1",0.622348843685305
"122","clm_water.vapor.pressure_worldclim.oct_m_1km_1990..2010_v2.1",0.619723225997494
"70","clm_lst_mod11a2.dec.day_m_1km_s0..0cm_2000..2017_v1.0",0.59221844784967
"63","clm_lst_mod11a2.annual.night_m_1km_s0..0cm_2000..2017_v1.0",0.546451336390485
"99","clm_lst_mod11a2.sep.night_m_1km_s0..0cm_2000..2017_v1.0",0.524993308522665
"117","clm_water.vapor.pressure_worldclim.jul_m_1km_1990..2010_v2.1",0.524715521754852
"80","clm_lst_mod11a2.jul.daynight_m_1km_s0..0cm_2000..2017_v1.0",0.51504470923366
"112","clm_water.vapor.pressure_worldclim.apr_m_1km_1990..2010_v2.1",0.46866014899052
"87","clm_lst_mod11a2.mar.night_m_1km_s0..0cm_2000..2017_v1.0",0.467599908024891
"84","clm_lst_mod11a2.jun.night_m_1km_s0..0cm_2000..2017_v1.0",0.42593909679764
"75","clm_lst_mod11a2.feb.night_m_1km_s0..0cm_2000..2017_v1.0",0.418244055465746
"118","clm_water.vapor.pressure_worldclim.jun_m_1km_1990..2010_v2.1",0.362757347947551
"113","clm_water.vapor.pressure_worldclim.aug_m_1km_1990..2010_v2.1",0.353596696260466
"119","clm_water.vapor.pressure_worldclim.mar_m_1km_1990..2010_v2.1",0.317743993391404
"121","clm_water.vapor.pressure_worldclim.nov_m_1km_1990..2010_v2.1",0.307492761760162
"93","clm_lst_mod11a2.nov.night_m_1km_s0..0cm_2000..2017_v1.0",0.283040271035777
"116","clm_water.vapor.pressure_worldclim.jan_m_1km_1990..2010_v2.1",0.268230870989237
"6","mir.PC6",0
"26","mir.PC26",0
"33","mir.PC33",0
"91","clm_lst_mod11a2.nov.day_m_1km_s0..0cm_2000..2017_v1.0",0
"94","clm_lst_mod11a2.oct.day_m_1km_s0..0cm_2000..2017_v1.0",0
"108","clm_precipitation_worldclim.may_m_1km_1990..2010_v2.1",0
