"","variable","importance"
"3","mir.PC3",1587.90317203834
"1","mir.PC1",368.124301050411
"8","mir.PC8",287.739587150479
"14","mir.PC14",76.0165476882645
"2","mir.PC2",67.4813946675587
"10","mir.PC10",29.0437305073109
"7","mir.PC7",27.3301322207845
"21","mir.PC21",26.047051587492
"18","mir.PC18",24.0666330996023
"28","mir.PC28",18.8429266358743
"11","mir.PC11",12.2600001517805
"17","mir.PC17",10.8607327982437
"29","mir.PC29",10.3001258330355
"5","mir.PC5",10.1071098427668
"13","mir.PC13",9.50596681672615
"12","mir.PC12",9.3930076529295
"37","mir.PC37",9.19581348298635
"20","mir.PC20",8.81048692137917
"16","mir.PC16",8.37326011216219
"9","mir.PC9",7.39371129176386
"4","mir.PC4",7.24335268156515
"22","mir.PC22",6.94194861289007
"23","mir.PC23",6.85022694642043
"15","mir.PC15",6.80934891661785
"25","mir.PC25",6.65358974364587
"35","mir.PC35",5.85042685459237
"24","mir.PC24",5.83425181746124
"19","mir.PC19",5.03846187254516
"59","mir.PC59",5.01007641072292
"51","mir.PC51",4.95822639588421
"31","mir.PC31",4.44913492194441
"50","mir.PC50",4.06859218236917
"49","mir.PC49",4.00490600342463
"52","mir.PC52",3.74986650193474
"44","mir.PC44",3.56394181436576
"30","mir.PC30",3.51453471705203
"58","mir.PC58",3.50079124340117
"47","mir.PC47",3.49742101169219
"46","mir.PC46",3.43952810411135
"38","mir.PC38",3.32876997790984
"32","mir.PC32",3.30653949230225
"55","mir.PC55",3.27283116664143
"48","mir.PC48",3.27158069361366
"40","mir.PC40",3.24625684309778
"53","mir.PC53",3.21900337910815
"43","mir.PC43",3.15944247417713
"60","mir.PC60",3.15391540453652
"41","mir.PC41",3.06853086258167
"27","mir.PC27",3.06179359081482
"34","mir.PC34",2.91438977536953
"45","mir.PC45",2.70185493904012
"42","mir.PC42",2.38834112220943
"33","mir.PC33",2.34561621510682
"54","mir.PC54",2.32264844407051
"56","mir.PC56",2.22640726222387
"36","mir.PC36",2.03386888278801
"39","mir.PC39",1.99600146340315
"6","mir.PC6",0
"26","mir.PC26",0
"57","mir.PC57",0
