"","variable","importance"
"3","mir.PC3",728.511052855824
"61","hzn_depth",191.564927698964
"8","mir.PC8",63.4381851715398
"14","mir.PC14",31.6138297966976
"1","mir.PC1",25.2912473015224
"2","mir.PC2",21.7533058583847
"18","mir.PC18",19.8073664847426
"9","mir.PC9",11.9658641231727
"88","clm_lst_mod11a2.may.day_m_1km_s0..0cm_2000..2017_v1.0",10.8409910320265
"24","mir.PC24",10.478561650003
"4","mir.PC4",9.61758275429934
"17","mir.PC17",9.06176110168476
"15","mir.PC15",8.14977118796932
"21","mir.PC21",8.1484281664672
"97","clm_lst_mod11a2.sep.day_m_1km_s0..0cm_2000..2017_v1.0",7.34275516721806
"23","mir.PC23",7.26379706879741
"10","mir.PC10",7.10451893390356
"28","mir.PC28",6.38955246466988
"5","mir.PC5",6.0930845028435
"6","mir.PC6",5.89902437514845
"74","clm_lst_mod11a2.feb.daynight_m_1km_s0..0cm_2000..2017_v1.0",5.84873318892887
"12","mir.PC12",5.35715243270657
"67","clm_lst_mod11a2.aug.day_m_1km_s0..0cm_2000..2017_v1.0",5.11476384860295
"16","mir.PC16",4.70537196428995
"7","mir.PC7",4.32185008858414
"100","clm_precipitation_worldclim.apr_m_1km_1990..2010_v2.1",4.28749808578983
"109","clm_precipitation_worldclim.nov_m_1km_1990..2010_v2.1",3.87846190014669
"57","mir.PC57",3.82346955180276
"25","mir.PC25",3.56482511761408
"64","clm_lst_mod11a2.apr.day_m_1km_s0..0cm_2000..2017_v1.0",3.55975137479952
"27","mir.PC27",3.54753453962014
"51","mir.PC51",3.48193656331254
"107","clm_precipitation_worldclim.mar_m_1km_1990..2010_v2.1",3.45587888306392
"19","mir.PC19",3.35890428559195
"20","mir.PC20",3.24870745259528
"36","mir.PC36",3.17375217571315
"30","mir.PC30",3.03800849145803
"71","clm_lst_mod11a2.dec.daynight_m_1km_s0..0cm_2000..2017_v1.0",3.01329940752347
"102","clm_precipitation_worldclim.dec_m_1km_1990..2010_v2.1",3.00925448645246
"54","mir.PC54",2.9724239975547
"47","mir.PC47",2.71235048905168
"50","mir.PC50",2.70168402393359
"38","mir.PC38",2.59088349190865
"110","clm_precipitation_worldclim.oct_m_1km_1990..2010_v2.1",2.58624144741199
"13","mir.PC13",2.57597463400081
"31","mir.PC31",2.57415128263733
"108","clm_precipitation_worldclim.may_m_1km_1990..2010_v2.1",2.49219863699096
"44","mir.PC44",2.36050029775155
"86","clm_lst_mod11a2.mar.daynight_m_1km_s0..0cm_2000..2017_v1.0",2.35304576085456
"35","mir.PC35",2.33927823254384
"52","mir.PC52",2.33124546226404
"11","mir.PC11",2.28883475277034
"103","clm_precipitation_worldclim.feb_m_1km_1990..2010_v2.1",2.26150780035604
"40","mir.PC40",2.22934679298993
"58","mir.PC58",2.18814254986733
"37","mir.PC37",2.18746444828289
"62","clm_lst_mod11a2.annual.day_m_1km_s0..0cm_2000..2017_v1.0",2.10120396487335
"34","mir.PC34",2.06629069757998
"45","mir.PC45",2.06119468883812
"56","mir.PC56",2.04354248311539
"46","mir.PC46",2.02739299016638
"111","clm_precipitation_worldclim.sep_m_1km_1990..2010_v2.1",2.00156932163856
"43","mir.PC43",1.96707685962843
"41","mir.PC41",1.96410986410717
"26","mir.PC26",1.92396374030247
"115","clm_water.vapor.pressure_worldclim.feb_m_1km_1990..2010_v2.1",1.92312828264115
"42","mir.PC42",1.89410989812274
"60","mir.PC60",1.81534267854907
"95","clm_lst_mod11a2.oct.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.74330353645589
"29","mir.PC29",1.72878831117142
"33","mir.PC33",1.70024336957484
"77","clm_lst_mod11a2.jan.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.69568711224828
"32","mir.PC32",1.67707477586235
"82","clm_lst_mod11a2.jun.day_m_1km_s0..0cm_2000..2017_v1.0",1.6659815895792
"48","mir.PC48",1.65683156812054
"55","mir.PC55",1.65637874353502
"105","clm_precipitation_worldclim.jul_m_1km_1990..2010_v2.1",1.65351458923512
"53","mir.PC53",1.64944240885156
"59","mir.PC59",1.62282001617375
"65","clm_lst_mod11a2.apr.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.52330286594808
"72","clm_lst_mod11a2.dec.night_m_1km_s0..0cm_2000..2017_v1.0",1.51189980030877
"101","clm_precipitation_worldclim.aug_m_1km_1990..2010_v2.1",1.50047214458906
"22","mir.PC22",1.45320940070923
"49","mir.PC49",1.42865114972118
"79","clm_lst_mod11a2.jul.day_m_1km_s0..0cm_2000..2017_v1.0",1.3400249414585
"99","clm_lst_mod11a2.sep.night_m_1km_s0..0cm_2000..2017_v1.0",1.24293102311185
"39","mir.PC39",1.22079687843772
"69","clm_lst_mod11a2.aug.night_m_1km_s0..0cm_2000..2017_v1.0",1.179694980981
"85","clm_lst_mod11a2.mar.day_m_1km_s0..0cm_2000..2017_v1.0",1.08859798774519
"121","clm_water.vapor.pressure_worldclim.nov_m_1km_1990..2010_v2.1",1.06053885063061
"89","clm_lst_mod11a2.may.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.02776654695237
"78","clm_lst_mod11a2.jan.night_m_1km_s0..0cm_2000..2017_v1.0",0.974166317714269
"68","clm_lst_mod11a2.aug.daynight_m_1km_s0..0cm_2000..2017_v1.0",0.960949116529273
"83","clm_lst_mod11a2.jun.daynight_m_1km_s0..0cm_2000..2017_v1.0",0.954719169087562
"113","clm_water.vapor.pressure_worldclim.aug_m_1km_1990..2010_v2.1",0.950371038058461
"106","clm_precipitation_worldclim.jun_m_1km_1990..2010_v2.1",0.93380203135756
"73","clm_lst_mod11a2.feb.day_m_1km_s0..0cm_2000..2017_v1.0",0.925046540181047
"123","clm_water.vapor.pressure_worldclim.sep_m_1km_1990..2010_v2.1",0.888216220831134
"81","clm_lst_mod11a2.jul.night_m_1km_s0..0cm_2000..2017_v1.0",0.857447380600292
"98","clm_lst_mod11a2.sep.daynight_m_1km_s0..0cm_2000..2017_v1.0",0.793719662528861
"84","clm_lst_mod11a2.jun.night_m_1km_s0..0cm_2000..2017_v1.0",0.765215815822501
"117","clm_water.vapor.pressure_worldclim.jul_m_1km_1990..2010_v2.1",0.736660508589438
"120","clm_water.vapor.pressure_worldclim.may_m_1km_1990..2010_v2.1",0.728514593221964
"96","clm_lst_mod11a2.oct.night_m_1km_s0..0cm_2000..2017_v1.0",0.705313661947164
"80","clm_lst_mod11a2.jul.daynight_m_1km_s0..0cm_2000..2017_v1.0",0.689159901576318
"114","clm_water.vapor.pressure_worldclim.dec_m_1km_1990..2010_v2.1",0.675208423330155
"93","clm_lst_mod11a2.nov.night_m_1km_s0..0cm_2000..2017_v1.0",0.63145854229563
"76","clm_lst_mod11a2.jan.day_m_1km_s0..0cm_2000..2017_v1.0",0.593534399997738
"91","clm_lst_mod11a2.nov.day_m_1km_s0..0cm_2000..2017_v1.0",0.473190172551674
"94","clm_lst_mod11a2.oct.day_m_1km_s0..0cm_2000..2017_v1.0",0.4715427117989
"112","clm_water.vapor.pressure_worldclim.apr_m_1km_1990..2010_v2.1",0.451058017640812
"63","clm_lst_mod11a2.annual.night_m_1km_s0..0cm_2000..2017_v1.0",0.432859604164203
"118","clm_water.vapor.pressure_worldclim.jun_m_1km_1990..2010_v2.1",0.423885412230601
"70","clm_lst_mod11a2.dec.day_m_1km_s0..0cm_2000..2017_v1.0",0.396121715101817
"90","clm_lst_mod11a2.may.night_m_1km_s0..0cm_2000..2017_v1.0",0.375124976820238
"87","clm_lst_mod11a2.mar.night_m_1km_s0..0cm_2000..2017_v1.0",0.373208191428519
"122","clm_water.vapor.pressure_worldclim.oct_m_1km_1990..2010_v2.1",0.35836490503496
"66","clm_lst_mod11a2.apr.night_m_1km_s0..0cm_2000..2017_v1.0",0.342549865342272
"75","clm_lst_mod11a2.feb.night_m_1km_s0..0cm_2000..2017_v1.0",0.29253544852879
"116","clm_water.vapor.pressure_worldclim.jan_m_1km_1990..2010_v2.1",0.290160395153692
"127","dataset.code_ascii_c_KSSL.SSL",0.124497061675544
"126","dataset.code_ascii_c_ICRAF.ISRIC",0.032409021374819
"92","clm_lst_mod11a2.nov.daynight_m_1km_s0..0cm_2000..2017_v1.0",0
"104","clm_precipitation_worldclim.jan_m_1km_1990..2010_v2.1",0
"119","clm_water.vapor.pressure_worldclim.mar_m_1km_1990..2010_v2.1",0
"124","dataset.code_ascii_c_AFSIS1.SSL",0
"125","dataset.code_ascii_c_CAF.SSL",0
"128","dataset.code_ascii_c_LUCAS.SSL",0
"129","dataset.code_ascii_c_NEON.SSL",0
