"","variable","importance"
"3","mir.PC3",649.973164863468
"65","visnir.PC5",162.488588007903
"121","hzn_depth",119.785839193322
"8","mir.PC8",81.3850412219021
"66","visnir.PC6",35.7820086675728
"2","mir.PC2",32.147691365088
"14","mir.PC14",30.6555590647567
"1","mir.PC1",25.7541450467087
"61","visnir.PC1",24.2705943124945
"9","mir.PC9",23.4271762499973
"62","visnir.PC2",16.5002332253495
"4","mir.PC4",15.8505961720858
"124","clm_lst_mod11a2.apr.day_m_1km_s0..0cm_2000..2017_v1.0",13.3122156767663
"134","clm_lst_mod11a2.feb.daynight_m_1km_s0..0cm_2000..2017_v1.0",12.7469052429552
"71","visnir.PC11",12.6705415256012
"18","mir.PC18",12.4665957267194
"127","clm_lst_mod11a2.aug.day_m_1km_s0..0cm_2000..2017_v1.0",10.3514472131821
"63","visnir.PC3",9.52138602618531
"157","clm_lst_mod11a2.sep.day_m_1km_s0..0cm_2000..2017_v1.0",9.35474076479919
"24","mir.PC24",8.69628071381373
"5","mir.PC5",7.20788374054229
"10","mir.PC10",7.17724304450238
"6","mir.PC6",6.90485191069986
"64","visnir.PC4",6.77053931040392
"15","mir.PC15",6.45454525669586
"91","visnir.PC31",6.33156388706483
"7","mir.PC7",5.6885303371352
"70","visnir.PC10",5.56196871056035
"21","mir.PC21",5.35749339443724
"17","mir.PC17",5.01145180451553
"38","mir.PC38",4.69876558973327
"171","clm_precipitation_worldclim.sep_m_1km_1990..2010_v2.1",3.94191116307956
"12","mir.PC12",3.78297778970633
"16","mir.PC16",3.7469774686774
"31","mir.PC31",3.64329747762609
"23","mir.PC23",3.52237320329125
"75","visnir.PC15",3.47272141109093
"161","clm_precipitation_worldclim.aug_m_1km_1990..2010_v2.1",3.33771386098567
"28","mir.PC28",3.16852292143932
"19","mir.PC19",3.13364498599532
"37","mir.PC37",3.11991107184342
"78","visnir.PC18",3.01220336422774
"162","clm_precipitation_worldclim.dec_m_1km_1990..2010_v2.1",2.89356353882846
"167","clm_precipitation_worldclim.mar_m_1km_1990..2010_v2.1",2.89261059614758
"60","mir.PC60",2.83746289807502
"20","mir.PC20",2.83174105460743
"148","clm_lst_mod11a2.may.day_m_1km_s0..0cm_2000..2017_v1.0",2.83161684560449
"169","clm_precipitation_worldclim.nov_m_1km_1990..2010_v2.1",2.78949318705385
"46","mir.PC46",2.74203346941296
"74","visnir.PC14",2.68663169231527
"89","visnir.PC29",2.57160896085024
"27","mir.PC27",2.57091467867702
"155","clm_lst_mod11a2.oct.daynight_m_1km_s0..0cm_2000..2017_v1.0",2.53057374493981
"45","mir.PC45",2.48352230988697
"137","clm_lst_mod11a2.jan.daynight_m_1km_s0..0cm_2000..2017_v1.0",2.38072652239374
"86","visnir.PC26",2.19670054663768
"13","mir.PC13",2.18810960029764
"131","clm_lst_mod11a2.dec.daynight_m_1km_s0..0cm_2000..2017_v1.0",2.13656068215396
"22","mir.PC22",2.13499821610834
"186","dataset.code_ascii_c_ICRAF.ISRIC",2.13109886829498
"47","mir.PC47",2.05622353210421
"69","visnir.PC9",2.05115133029617
"11","mir.PC11",1.99207002638809
"53","mir.PC53",1.99113547045202
"168","clm_precipitation_worldclim.may_m_1km_1990..2010_v2.1",1.97294848373926
"44","mir.PC44",1.92162987141328
"68","visnir.PC8",1.88254376994212
"42","mir.PC42",1.8081769248524
"33","mir.PC33",1.79548107349488
"36","mir.PC36",1.7789377667413
"40","mir.PC40",1.77103020470398
"87","visnir.PC27",1.7185112507417
"85","visnir.PC25",1.69426151766647
"142","clm_lst_mod11a2.jun.day_m_1km_s0..0cm_2000..2017_v1.0",1.68083885114253
"77","visnir.PC17",1.65767918566246
"154","clm_lst_mod11a2.oct.day_m_1km_s0..0cm_2000..2017_v1.0",1.65711518966461
"81","visnir.PC21",1.60727948922842
"26","mir.PC26",1.58909672807229
"25","mir.PC25",1.57781197509195
"52","mir.PC52",1.57269362422877
"35","mir.PC35",1.56335247066954
"41","mir.PC41",1.54782773559449
"59","mir.PC59",1.53744799741788
"80","visnir.PC20",1.51436244998278
"120","visnir.PC60",1.49840918601419
"48","mir.PC48",1.48685829281493
"82","visnir.PC22",1.48480500702335
"125","clm_lst_mod11a2.apr.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.47219835925505
"183","clm_water.vapor.pressure_worldclim.sep_m_1km_1990..2010_v2.1",1.46828468981349
"51","mir.PC51",1.46436875702754
"146","clm_lst_mod11a2.mar.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.46242934236226
"152","clm_lst_mod11a2.nov.daynight_m_1km_s0..0cm_2000..2017_v1.0",1.45362949075423
