"","variable","importance"
"3","mir.PC3",1694.25563943695
"8","mir.PC8",220.117685747683
"66","visnir.PC6",122.043737518291
"1","mir.PC1",75.2515428167616
"2","mir.PC2",45.5560425447583
"14","mir.PC14",28.2824145205768
"9","mir.PC9",26.0129544059648
"62","visnir.PC2",25.5717658395935
"10","mir.PC10",19.2381951019447
"63","visnir.PC3",17.8449684374611
"15","mir.PC15",17.2716990262741
"61","visnir.PC1",16.452194473032
"28","mir.PC28",12.6905416204657
"13","mir.PC13",12.18984045981
"18","mir.PC18",11.8181581373295
"30","mir.PC30",11.6028822449902
"7","mir.PC7",7.7136576660932
"12","mir.PC12",7.26030636061159
"70","visnir.PC10",7.20795717171913
"21","mir.PC21",6.63227175336667
"37","mir.PC37",5.94273434353574
"17","mir.PC17",5.68838656722074
"68","visnir.PC8",5.18974592881012
"91","visnir.PC31",5.12102977783072
"16","mir.PC16",4.79490186538547
"19","mir.PC19",4.70249205815971
"36","mir.PC36",4.50920878748532
"35","mir.PC35",4.41264187230778
"26","mir.PC26",4.16631694005482
"11","mir.PC11",4.03090175857936
"71","visnir.PC11",3.87661109942197
"120","visnir.PC60",3.54584251939736
"24","mir.PC24",3.42058597386324
"5","mir.PC5",3.28318102360925
"6","mir.PC6",3.14151825979291
"77","visnir.PC17",2.98158146123742
"44","mir.PC44",2.96334990579025
"25","mir.PC25",2.92718083932824
"73","visnir.PC13",2.75576051388986
"76","visnir.PC16",2.68616239558356
"40","mir.PC40",2.58100622420963
"67","visnir.PC7",2.5729338852226
"32","mir.PC32",2.49173929476568
"72","visnir.PC12",2.47934172752399
"85","visnir.PC25",2.33495169231563
"52","mir.PC52",2.25457620282413
"58","mir.PC58",2.11327401463077
"69","visnir.PC9",2.07734789962384
"22","mir.PC22",2.04425327487045
"60","mir.PC60",1.97427238357766
"42","mir.PC42",1.96587270600343
"59","mir.PC59",1.9421176902721
"47","mir.PC47",1.91884956202025
"49","mir.PC49",1.91525715313247
"38","mir.PC38",1.87120042389119
"54","mir.PC54",1.82691624036846
"41","mir.PC41",1.82590994127137
"89","visnir.PC29",1.80389001647555
"45","mir.PC45",1.76474016886945
"96","visnir.PC36",1.73363066351561
"80","visnir.PC20",1.71272205229866
"98","visnir.PC38",1.66703976284485
"53","mir.PC53",1.64555693684295
"20","mir.PC20",1.63254313507059
"74","visnir.PC14",1.59709498482107
"78","visnir.PC18",1.59483932139841
"100","visnir.PC40",1.59249017286477
"50","mir.PC50",1.58650556503588
"97","visnir.PC37",1.56107465701565
"51","mir.PC51",1.55779077950715
"31","mir.PC31",1.53857877891022
"87","visnir.PC27",1.46606667227352
"83","visnir.PC23",1.4607045660741
"56","mir.PC56",1.43468847300974
"102","visnir.PC42",1.43271050863092
"112","visnir.PC52",1.42279842703243
"57","mir.PC57",1.38034187461369
"84","visnir.PC24",1.36702055863205
"48","mir.PC48",1.35861954218605
"33","mir.PC33",1.34473325169479
"29","mir.PC29",1.33817578111287
"55","mir.PC55",1.32462525677228
"46","mir.PC46",1.26592765643374
"101","visnir.PC41",1.26278109635388
"79","visnir.PC19",1.25125034815834
"27","mir.PC27",1.24896322813037
"104","visnir.PC44",1.22053904861378
"108","visnir.PC48",1.20186721988953
"115","visnir.PC55",1.19749515219778
"99","visnir.PC39",1.16447712266318
"106","visnir.PC46",1.15388804945219
"82","visnir.PC22",1.14904535113375
"39","mir.PC39",1.14749175358897
"93","visnir.PC33",1.13874203049395
"88","visnir.PC28",1.12995875482877
"64","visnir.PC4",1.12222800279356
"118","visnir.PC58",1.07131582542025
"86","visnir.PC26",1.05338461987546
"34","mir.PC34",1.03358150761669
"90","visnir.PC30",1.00538903981007
"94","visnir.PC34",0.996969315554352
"117","visnir.PC57",0.976296978649266
"103","visnir.PC43",0.938182660753763
"95","visnir.PC35",0.919554618047207
"110","visnir.PC50",0.913041127379665
"119","visnir.PC59",0.8959443528761
"107","visnir.PC47",0.860459971350226
"92","visnir.PC32",0.8240381229363
"105","visnir.PC45",0.810140802228057
"111","visnir.PC51",0.807492391924664
"109","visnir.PC49",0.804821734386823
"116","visnir.PC56",0.79995321917587
"113","visnir.PC53",0.782471461424662
"123","dataset.code_ascii_c_ICRAF.ISRIC",0.284884049515365
"124","dataset.code_ascii_c_KSSL.SSL",0.118792730627851
"125","dataset.code_ascii_c_LUCAS.SSL",0.116631149554192
"4","mir.PC4",0
"23","mir.PC23",0
"43","mir.PC43",0
"65","visnir.PC5",0
"75","visnir.PC15",0
"81","visnir.PC21",0
"114","visnir.PC54",0
"121","dataset.code_ascii_c_AFSIS1.SSL",0
"122","dataset.code_ascii_c_CAF.SSL",0
"126","dataset.code_ascii_c_NEON.SSL",0
