"","variable","importance"
"2","visnir.PC2",591.280930237524
"1","visnir.PC1",393.311991478386
"6","visnir.PC6",356.987371810808
"3","visnir.PC3",282.070814824227
"8","visnir.PC8",97.4089246965651
"5","visnir.PC5",85.3367293919141
"9","visnir.PC9",83.1923209969164
"18","visnir.PC18",80.8672481942953
"13","visnir.PC13",54.8069412148229
"4","visnir.PC4",39.9427750673018
"23","visnir.PC23",30.3298343527062
"11","visnir.PC11",24.2202466167534
"15","visnir.PC15",23.4729243382041
"12","visnir.PC12",22.7076889226226
"7","visnir.PC7",22.3246963530455
"16","visnir.PC16",22.0894415889873
"10","visnir.PC10",18.2775667188181
"52","visnir.PC52",17.4289751560247
"34","visnir.PC34",15.7091448918217
"41","visnir.PC41",14.7438810671545
"51","visnir.PC51",14.1093603216734
"31","visnir.PC31",13.789817438726
"26","visnir.PC26",10.9472950852643
"44","visnir.PC44",10.6212551009858
"21","visnir.PC21",9.55788223061055
"27","visnir.PC27",9.36071446015194
"17","visnir.PC17",8.38054339218557
"55","visnir.PC55",7.96489720015653
"37","visnir.PC37",7.45035076986739
"36","visnir.PC36",7.13328787092591
"32","visnir.PC32",7.11039676726341
"49","visnir.PC49",7.07793734339741
"39","visnir.PC39",6.94346086865073
"59","visnir.PC59",6.90463350766942
"33","visnir.PC33",6.87996999063069
"56","visnir.PC56",6.63979051047037
"43","visnir.PC43",6.52859634294318
"53","visnir.PC53",6.23338332889348
"24","visnir.PC24",6.18418671927455
"45","visnir.PC45",6.01763657938251
"30","visnir.PC30",6.01305809536616
"50","visnir.PC50",5.99807522032463
"40","visnir.PC40",5.81189301460341
"19","visnir.PC19",5.78696957477483
"28","visnir.PC28",5.52785406366377
"58","visnir.PC58",5.4549107891854
"54","visnir.PC54",5.45296809773925
"29","visnir.PC29",5.26228944778284
"48","visnir.PC48",5.15813565810251
"57","visnir.PC57",5.09012159637429
"60","visnir.PC60",5.03969260308776
"38","visnir.PC38",4.76253620896558
"46","visnir.PC46",4.57290633583438
"47","visnir.PC47",4.40660289383777
"35","visnir.PC35",3.99082785272547
"25","visnir.PC25",3.9849964350731
"42","visnir.PC42",3.81991908913831
"20","visnir.PC20",3.38316564666731
"14","visnir.PC14",0
"22","visnir.PC22",0
