variable,variable_name,variable_url,spectra_type,subset,geo,model,model_path,model_summary,description,pca.model.mir,pca.model.visnir,pca.model_path,accuracy_plot_png,R_square,RSME,N,pca_plot_rds,model_wasabi_url,model_wasabi_size_MB,pca.model_wasabi_url
log..oc_usda.calc_wpct,Soil organic carbon content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#oc_usda.calc_wpct,mir,kssl,na,mir_mlr..eml_kssl_na_v1.rds,/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/mir_mlr..eml_kssl_na_v1_resultsFit.txt,Ensemble ML model to predict Soil organic carbon content in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/ap.mir_mlr..eml_kssl_na_v1.rds.png,0.982,0.154,57400,/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/mir_mlr..eml_kssl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
log..oc_usda.calc_wpct,Soil organic carbon content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#oc_usda.calc_wpct,mir,kssl,ll,mir_mlr..eml_kssl_ll_v1.rds,/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/mir_mlr..eml_kssl_ll_v1_resultsFit.txt,Ensemble ML model to predict Soil organic carbon content in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/ap.mir_mlr..eml_kssl_ll_v1.rds.png,0.962,0.180,14781,/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/mir_mlr..eml_kssl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
log..oc_usda.calc_wpct,Soil organic carbon content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#oc_usda.calc_wpct,visnir,ossl,na,visnir_mlr..eml_ossl_na_v1.rds,/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/visnir_mlr..eml_ossl_na_v1_resultsFit.txt,Ensemble ML model to predict Soil organic carbon content in wpct using ossl data,,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/ap.visnir_mlr..eml_ossl_na_v1.rds.png,0.902,0.358,58072,/soilspectroscopy/ossl_models/pca.ossl/mpca_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/visnir_mlr..eml_ossl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/
log..oc_usda.calc_wpct,Soil organic carbon content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#oc_usda.calc_wpct,mir,ossl,ll,mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Soil organic carbon content in wpct using ossl data,mpca_mir_ossl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/ap.mir_mlr..eml_ossl_ll_v1.rds.png,0.952,0.190,17950,/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
log..oc_usda.calc_wpct,Soil organic carbon content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#oc_usda.calc_wpct,visnir.mir,ossl,ll,visnir.mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/visnir.mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Soil organic carbon content in wpct using ossl data,mpca_mir_ossl_v1.rds,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/ap.visnir.mir_mlr..eml_ossl_ll_v1.rds.png,0.953,0.186,17855,/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..oc_usda.calc_wpct/visnir.mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
log..n.tot_usda.4h2_wpct,Total Nitrogen in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#n.tot_usda.4h2_wpct,mir,kssl,na,mir_mlr..eml_kssl_na_v1.rds,/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/mir_mlr..eml_kssl_na_v1_resultsFit.txt,Ensemble ML model to predict Total Nitrogen in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/ap.mir_mlr..eml_kssl_na_v1.rds.png,0.932,0.086,57728,/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/mir_mlr..eml_kssl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
log..n.tot_usda.4h2_wpct,Total Nitrogen in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#n.tot_usda.4h2_wpct,mir,kssl,ll,mir_mlr..eml_kssl_ll_v1.rds,/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/mir_mlr..eml_kssl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total Nitrogen in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/ap.mir_mlr..eml_kssl_ll_v1.rds.png,0.952,0.057,15035,/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/mir_mlr..eml_kssl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
log..n.tot_usda.4h2_wpct,Total Nitrogen in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#n.tot_usda.4h2_wpct,visnir,ossl,na,visnir_mlr..eml_ossl_na_v1.rds,/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/visnir_mlr..eml_ossl_na_v1_resultsFit.txt,Ensemble ML model to predict Total Nitrogen in wpct using ossl data,,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/ap.visnir_mlr..eml_ossl_na_v1.rds.png,0.851,0.126,58440,/soilspectroscopy/ossl_models/pca.ossl/mpca_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/visnir_mlr..eml_ossl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/
log..n.tot_usda.4h2_wpct,Total Nitrogen in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#n.tot_usda.4h2_wpct,mir,ossl,ll,mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total Nitrogen in wpct using ossl data,mpca_mir_ossl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/ap.mir_mlr..eml_ossl_ll_v1.rds.png,0.933,0.064,17395,/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
log..n.tot_usda.4h2_wpct,Total Nitrogen in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#n.tot_usda.4h2_wpct,visnir.mir,ossl,ll,visnir.mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/visnir.mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total Nitrogen in wpct using ossl data,mpca_mir_ossl_v1.rds,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/ap.visnir.mir_mlr..eml_ossl_ll_v1.rds.png,0.936,0.061,17300,/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/log..n.tot_usda.4h2_wpct/visnir.mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
