"","variable","std","mir_mlr..eml_kssl_na_v1.1_RMSE","mir_mlr..eml_kssl_na_v1.1_R.square","mir_mlr..eml_kssl_na_v1.1_N.tot","mir_mlr..eml_kssl_na_v1.1_N.outliers","mir_mlr..eml_kssl_ll_v1.1_RMSE","mir_mlr..eml_kssl_ll_v1.1_R.square","mir_mlr..eml_kssl_ll_v1.1_N.tot","mir_mlr..eml_kssl_ll_v1.1_N.outliers","visnir_mlr..eml_ossl_na_v1.1_RMSE","visnir_mlr..eml_ossl_na_v1.1_R.square","visnir_mlr..eml_ossl_na_v1.1_N.tot","visnir_mlr..eml_ossl_na_v1.1_N.outliers","mir_mlr..eml_ossl_ll_v1.1_RMSE","mir_mlr..eml_ossl_ll_v1.1_R.square","mir_mlr..eml_ossl_ll_v1.1_N.tot","mir_mlr..eml_ossl_ll_v1.1_N.outliers","visnir.mir_mlr..eml_ossl_na_v1.1_RMSE","visnir.mir_mlr..eml_ossl_na_v1.1_R.square","visnir.mir_mlr..eml_ossl_na_v1.1_N.tot","visnir.mir_mlr..eml_ossl_na_v1.1_N.outliers","visnir.mir_mlr..eml_ossl_ll_v1.1_RMSE","visnir.mir_mlr..eml_ossl_ll_v1.1_R.square","visnir.mir_mlr..eml_ossl_ll_v1.1_N.tot","visnir.mir_mlr..eml_ossl_ll_v1.1_N.outliers"
"1","log..oc_usda.calc_wpct",NA,0.15,0.978,72246,1092,0.156,0.966,32110,428,0.345,0.894,33301,643,0.151,0.967,36021,531,0.158,0.977,37312,525,0.175,0.948,17275,231
"2","log..n.tot_usda.4h2_wpct",NA,0.0585,0.954,72938,1323,0.0501,0.945,32584,486,0.118,0.835,33660,817,0.0521,0.934,37248,625,0.0667,0.945,36633,720,0.0535,0.922,16687,299
"3","silt.tot_usda.3a1_wpct",NA,8.54,0.825,50720,712,8.94,0.783,30585,411,15.2,0.465,20985,157,9.43,0.766,34607,442,8.65,0.829,25073,410,9.13,0.777,16878,217
"4","clay.tot_usda.3a1_wpct",NA,5.04,0.906,50711,987,5.45,0.883,30580,588,9.87,0.641,20990,291,6.45,0.856,34644,738,6.2,0.879,25070,560,6.83,0.851,16867,345
"5","sand.tot_usda.3a1_wpct",NA,9.41,0.895,50719,774,10.3,0.863,30584,383,20.5,0.524,20985,103,10.6,0.855,34549,464,10,0.885,25016,363,10.5,0.86,16821,229
"6","log..ecec_usda.4b4_cmolkg",NA,0.334,0.847,10687,194,0.322,0.85,7793,120,0.572,0.553,4014,30,0.382,0.836,10962,200,0.401,0.847,7655,129,0.411,0.839,6125,96
"7","ph.h2o_usda.4c1_index",NA,0.523,0.844,54153,807,0.529,0.842,31868,447,0.807,0.62,22191,215,0.541,0.836,38172,526,0.557,0.826,26306,336,0.543,0.843,17363,192
"8","ph.cacl2_usda.4c1_index",NA,0.513,0.866,54119,917,0.521,0.865,31835,501,0.866,0.618,22191,310,0.526,0.863,32160,502,0.533,0.855,22316,321,0.519,0.87,14095,162
"9","log..al.kcl_usda.4b3_cmolkg",NA,0.314,0.817,14322,185,0.324,0.807,10373,114,0.549,0.426,5835,54,0.328,0.792,14172,159,0.321,0.802,7344,85,0.328,0.801,5593,51
"10","log..k.ext_usda.4b1_cmolkg",NA,0.226,0.651,56532,922,0.195,0.643,30275,506,0.275,0.499,26597,443,0.204,0.624,34256,629,0.233,0.625,30044,454,0.203,0.611,17330,286
"11","log..caco3_usda.4e1_wpct",NA,0.211,0.971,30217,451,0.212,0.973,13243,206,0.731,0.632,16080,186,0.249,0.963,14395,288,0.266,0.954,17591,384,0.254,0.959,8043,171
"12","log..mg.ext_usda.4b1_cmolkg",NA,0.357,0.851,56534,743,0.347,0.838,30275,386,0.586,0.614,26599,213,0.379,0.812,34256,496,0.386,0.835,30053,374,0.369,0.828,17330,203
"13","log..ca.ext_usda.4b1_cmolkg",NA,0.361,0.922,56534,838,0.375,0.921,30275,423,0.759,0.669,26599,266,0.402,0.912,34249,517,0.403,0.91,30045,404,0.415,0.911,17323,232
"14","log..gyp_usda.4e2_wpct",NA,0.304,0.928,6721,128,0.326,0.902,4140,78,0.55,0.658,2897,63,0.358,0.882,4168,66,0.415,0.806,2839,40,0.418,0.808,2162,26
"15","log..cec.ext_usda.4b1_cmolkg",NA,0.198,0.951,56526,866,0.213,0.933,30271,468,0.496,0.696,26595,280,0.227,0.927,33758,592,0.231,0.936,30574,600,0.236,0.924,17315,330
"16","bsat_usda.4b4_wpct",NA,13.5,0.827,56018,1228,13.6,0.836,29982,606,20.7,0.583,26315,358,24.7,0.681,33008,259,26.2,0.655,29570,273,32.8,0.588,17009,141
"17","bd.od_usda.3b2_gcm3",NA,0.153,0.696,17714,163,0.156,0.682,15134,124,0.185,0.587,7484,87,0.158,0.7,16296,145,0.156,0.731,8345,75,0.158,0.723,7272,66
