soil_property,spectra,model_type,base_predictions,geocovariates,pca_compression,n,rmse,bias,rsq,ccc,rpiq
c.tot_usda.a622_w.pct,mir,ensemble,cv5,na,n120,521,0.07281177991683258,0.0011964668078708184,0.9959235129870713,0.997959099906272,15.643486807759013
c.tot_usda.a622_w.pct,mir,cubist,insample,na,n120,521,0.07829313177720175,4.4090537449568924e-4,0.9952819471740051,0.9976340466648305,14.54827636502974
c.tot_usda.a622_w.pct,mir,cubist,insample,na,cumvar99perc,521,0.08209268530392104,-0.0022180708567251257,0.9948407111037911,0.997386645241439,13.87492825166506
c.tot_usda.a622_w.pct,mir,ensemble,cv5,na,cumvar99perc,521,0.08523874743641688,-3.2197772272071307e-4,0.9944189241035627,0.9971862366784079,13.362820933379775
c.tot_usda.a622_w.pct,mir,ensemble,cv5,ll,n120,521,0.11343944277469058,0.01027007272197548,0.9901934344419326,0.9950019668359107,10.040864894238986
c.tot_usda.a622_w.pct,mir,ensemble,cv5,ll,cumvar99perc,521,0.1166271783664371,0.004367186247218028,0.9895560401279515,0.9947196678871992,9.766420953781838
c.tot_usda.a622_w.pct,mir,cubist,insample,ll,cumvar99perc,521,0.11784785609853002,-0.00436093976418592,0.9897013091841335,0.9945218271042842,9.665259566759575
c.tot_usda.a622_w.pct,mir,cubist,insample,ll,n120,521,0.11966390755490156,6.247122703622154e-4,0.9894723975410306,0.9943350525054048,9.51857700331103
c.tot_usda.a622_w.pct,mir,ensemble,insample,na,n120,521,0.19703864334286927,0.00725597766603919,0.9701703517057201,0.9848899302843028,5.780744828801847
c.tot_usda.a622_w.pct,mir,ensemble,insample,na,cumvar99perc,521,0.2011614144382633,0.002461621549423736,0.9688847093491356,0.9842641856357194,5.662269385802081
c.tot_usda.a622_w.pct,mir,ensemble,insample,ll,n120,521,0.3147935926048913,0.011943610369418474,0.924581471729843,0.9592694968578183,3.618339589294184
c.tot_usda.a622_w.pct,mir,ensemble,insample,ll,cumvar99perc,521,0.32177070337219543,0.017023278101269648,0.9205284331551152,0.9584381539362224,3.5398813709304524
c.tot_usda.a622_w.pct,visnir,ensemble,cv5,na,n120,521,0.07878470454530431,0.002397880870371821,0.9952317144788947,0.9976107939359854,14.457503206392502
c.tot_usda.a622_w.pct,visnir,ensemble,cv5,na,cumvar99perc,521,0.0831704353187308,-0.0021751957991373696,0.9946817460812762,0.9973261791778866,13.69513234135859
c.tot_usda.a622_w.pct,visnir,ensemble,cv5,ll,n120,521,0.11717642981343986,0.005640430479981249,0.9895496013897395,0.9946360682540869,9.72064194473161
c.tot_usda.a622_w.pct,visnir,ensemble,cv5,ll,cumvar99perc,521,0.11755961219278767,0.00283947510528742,0.9893885062902812,0.9946282971548168,9.688957774975572
c.tot_usda.a622_w.pct,visnir,ensemble,insample,na,n120,521,0.19984695520278256,0.007061402536519942,0.9692953826597438,0.9843891676733579,5.6995119961805845
c.tot_usda.a622_w.pct,visnir,ensemble,insample,na,cumvar99perc,521,0.20512138068169672,0.00550414806300653,0.967642190969905,0.9835807138606886,5.5529565703633175
c.tot_usda.a622_w.pct,visnir,cubist,insample,na,n120,521,0.22271685333469735,-0.019017179037409116,0.9625621292784211,0.9801235914409121,5.114252026840091
c.tot_usda.a622_w.pct,visnir,cubist,insample,na,cumvar99perc,521,0.2347148036821405,-0.021853900766817633,0.9587160190790688,0.9777514757141844,4.8528260710855715
c.tot_usda.a622_w.pct,visnir,ensemble,insample,ll,cumvar99perc,521,0.3150858040950129,0.027857109078126177,0.9241868038875967,0.9604205266385205,3.6149839306468814
c.tot_usda.a622_w.pct,visnir,ensemble,insample,ll,n120,521,0.33238732770589385,1.0773188115511998e-4,0.9158388347913055,0.9542747107225082,3.42681571659155
c.tot_usda.a622_w.pct,visnir,cubist,insample,ll,n120,521,0.3962984645344626,-0.03442985389311458,0.8855011885052165,0.9310204203344331,2.8741724243530893
c.tot_usda.a622_w.pct,visnir,cubist,insample,ll,cumvar99perc,521,0.41835438719455253,-0.05784692676070662,0.8782326837852288,0.9207626303012779,2.722644134836635
s.tot_usda.a624_w.pct,mir,ensemble,cv5,na,n120,521,0.05647605367697136,6.667935232948813e-4,0.7191892916815431,0.8386621409470645,1.3766501651588863
s.tot_usda.a624_w.pct,mir,ensemble,cv5,na,cumvar99perc,521,0.056991717304663174,8.640439936300652e-4,0.7139187487589456,0.8339781312095479,1.364194172397105
s.tot_usda.a624_w.pct,mir,cubist,insample,na,n120,521,0.057360551465211365,0.0031565629513580187,0.7134486104970923,0.8224638411180919,1.3554222655805188
s.tot_usda.a624_w.pct,mir,cubist,insample,na,cumvar99perc,521,0.0595617076351765,0.0026553638856514324,0.6899797712833132,0.8069986521318631,1.305331423641181
s.tot_usda.a624_w.pct,mir,ensemble,insample,na,n120,521,0.07624071777454909,-0.005358852526723521,0.5282700236131969,0.7234068755262537,1.0197670075960217
s.tot_usda.a624_w.pct,mir,ensemble,insample,na,cumvar99perc,521,0.0802704095826991,-0.005792577015483092,0.492774950034378,0.6996245585685202,0.9685732142904367
s.tot_usda.a624_w.pct,mir,ensemble,cv5,ll,cumvar99perc,521,0.08682178758175167,0.004922782343554255,0.3386716254468563,0.5160048874496082,0.8954868448051383
s.tot_usda.a624_w.pct,mir,ensemble,cv5,ll,n120,521,0.08956099387470347,0.008743933594798218,0.30446789948148617,0.4913351845027882,0.868098546680874
s.tot_usda.a624_w.pct,mir,cubist,insample,ll,n120,521,0.09352274962481394,0.013130003335764267,0.24494403685049881,0.3980068774755612,0.8313246662852212
s.tot_usda.a624_w.pct,mir,cubist,insample,ll,cumvar99perc,521,0.09620072159165868,0.01505286265101254,0.20784000787169066,0.3646036550896579,0.8081828008727333
s.tot_usda.a624_w.pct,mir,ensemble,insample,ll,n120,521,0.10091731599499565,-0.00426403114145728,0.17511615715197748,0.389703169003856,0.7704105866804875
s.tot_usda.a624_w.pct,mir,ensemble,insample,ll,cumvar99perc,521,0.10735802510934832,0.0035973595582571485,0.09650140208292929,0.282521866992103,0.7241914942337624
s.tot_usda.a624_w.pct,visnir,ensemble,cv5,na,cumvar99perc,521,0.05810612119089035,-1.0327212827201252e-4,0.7033702698931971,0.8303156988955297,1.3380306072488923
s.tot_usda.a624_w.pct,visnir,ensemble,cv5,na,n120,521,0.05828795311201528,-6.499674112300418e-6,0.7011891853822011,0.8280088308583267,1.3338565599054821
