soil_property,description,export_name,model_name,spectra_type,subset,geo,count
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,28550
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,30061
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1576
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",log..acidity_usda.a795_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,1511
aggstb_usda.a1_w.pct,Aggregate Stability,log..aggstb_usda.a1_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,3218
aggstb_usda.a1_w.pct,Aggregate Stability,log..aggstb_usda.a1_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3218
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",log..al.dith_usda.a65_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,31135
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",log..al.dith_usda.a65_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,31135
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",log..al.dith_usda.a65_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1773
al.ext_usda.a1056_mg.kg,"Aluminum, Extractable, Mehlich3",log..al.ext_usda.a1056_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
al.ext_usda.a1056_mg.kg,"Aluminum, Extractable, Mehlich3",log..al.ext_usda.a1056_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3773
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,14169
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,15710
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,716
al.ext_usda.a69_cmolc.kg,"Aluminum, Extractable, KCl",log..al.ext_usda.a69_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,1541
al.ox_usda.a59_w.pct,"Aluminum, Amorphous, Total Non-Crystalline Iron",log..al.ox_usda.a59_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,28260
al.ox_usda.a59_w.pct,"Aluminum, Amorphous, Total Non-Crystalline Iron",log..al.ox_usda.a59_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,28260
al.ox_usda.a59_w.pct,"Aluminum, Amorphous, Total Non-Crystalline Iron",log..al.ox_usda.a59_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1354
awc.33.1500kPa_usda.c80_w.frac,"Available Water Content, Difference 33-1500 kPa",log..awc.33.1500kPa_usda.c80_w.frac,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,16175
awc.33.1500kPa_usda.c80_w.frac,"Available Water Content, Difference 33-1500 kPa",log..awc.33.1500kPa_usda.c80_w.frac,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,16175
awc.33.1500kPa_usda.c80_w.frac,"Available Water Content, Difference 33-1500 kPa",log..awc.33.1500kPa_usda.c80_w.frac,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,931
b.ext_mel3_mg.kg,"Boron, Extractable, Mehlich3",log..b.ext_mel3_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,2093
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,40136
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,41484
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1085
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,visnir_mlr3..eml_kssl_na_v1.2,visnir,kssl,na,19752
bd_usda.a4_g.cm3,"Bulk Density, <2mm fraction, Clod",log..bd_usda.a4_g.cm3,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,20751
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,76595
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,80698
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,visnir_mlr3..eml_kssl_na_v1.2,visnir,kssl,na,19807
c.tot_usda.a622_w.pct,"Carbon, Total NCS",log..c.tot_usda.a622_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,19807
ca.ext_usda.a1059_mg.kg,"Calcium, Extractable, Mehlich3",log..ca.ext_usda.a1059_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
ca.ext_usda.a1059_mg.kg,"Calcium, Extractable, Mehlich3",log..ca.ext_usda.a1059_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3773
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,53232
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,57085
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
ca.ext_usda.a722_cmolc.kg,"Calcium, Extractable, NH4OAc",log..ca.ext_usda.a722_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,3723
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,27476
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,29225
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,665
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,visnir_mlr3..eml_kssl_na_v1.2,visnir,kssl,na,9213
caco3_usda.a54_w.pct,"Carbonate, <2mm Fraction",log..caco3_usda.a54_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,51094
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,53227
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,57651
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
cec_usda.a723_cmolc.kg,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log..cec_usda.a723_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,22687
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,55881
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,56470
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1969
cf_usda.c236_w.pct,"Coarse Fragments, Greater 2mm",log..cf_usda.c236_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,23237
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,50007
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,57268
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
clay.tot_usda.a334_w.pct,Clay,clay.tot_usda.a334_w.pct,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,27145
cu.ext_usda.a1063_mg.kg,"Copper, Extractable, Mehlich3",log..cu.ext_usda.a1063_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
cu.ext_usda.a1063_mg.kg,"Copper, Extractable, Mehlich3",log..cu.ext_usda.a1063_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3772
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,31886
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,34040
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,942
ec_usda.a364_ds.m,"Electrical Conductivity, (w/w)",log..ec_usda.a364_ds.m,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,21833
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,31138
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,31138
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1773
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3773
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,28259
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,28259
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1354
k.ext_usda.a1065_mg.kg,"Potassium, Extractable, Mehlich3",log..k.ext_usda.a1065_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
