soil_property,model_name,description,unit_transform,n,rmse,bias,rsq,ccc,rpiq
acidity_usda.a795_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,"Acidity, BaCl2-TEA Extractable, pH 8.2",log1p,28550,0.334,0.007,0.882,0.938,3.441
acidity_usda.a795_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,"Acidity, BaCl2-TEA Extractable, pH 8.2",log1p,30061,0.36,0,0.883,0.926,3.309
acidity_usda.a795_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Acidity, BaCl2-TEA Extractable, pH 8.2",log1p,1576,0.618,0.021,0.482,0.67,1.814
acidity_usda.a795_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,"Acidity, BaCl2-TEA Extractable, pH 8.2",log1p,1511,0.513,0.002,0.483,0.659,2.143
aggstb_usda.a1_w.pct,mir_mlr3..eml_kssl_na_v1.2,Aggregate Stability,log1p,3218,0.668,0.017,0.656,0.772,2.777
aggstb_usda.a1_w.pct,mir_mlr3..eml_ossl_na_v1.2,Aggregate Stability,log1p,3218,0.677,0.023,0.646,0.767,2.741
al.dith_usda.a65_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Aluminum, Crystalline, Total Pedogenic Iron",log1p,31135,0.067,-0.001,0.872,0.922,2.228
al.dith_usda.a65_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Aluminum, Crystalline, Total Pedogenic Iron",log1p,31135,0.067,-0.002,0.871,0.921,2.213
al.dith_usda.a65_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Aluminum, Crystalline, Total Pedogenic Iron",log1p,1773,0.113,-0.006,0.544,0.722,1.122
al.ext_usda.a1056_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Aluminum, Extractable, Mehlich3",log1p,1534,0.681,0.029,0.867,0.93,2.215
al.ext_usda.a1056_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Aluminum, Extractable, Mehlich3",log1p,3773,0.438,0.006,0.891,0.943,2.315
al.ext_usda.a69_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,"Aluminum, Extractable, KCl",log1p,14169,0.285,-0.004,0.853,0.912,3.838
al.ext_usda.a69_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,"Aluminum, Extractable, KCl",log1p,15710,0.304,-0.003,0.836,0.895,3.632
al.ext_usda.a69_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Aluminum, Extractable, KCl",log1p,716,0.543,-0.004,0.348,0.55,1.808
al.ext_usda.a69_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,"Aluminum, Extractable, KCl",log1p,1541,0.494,0.009,0.499,0.68,2.291
al.ox_usda.a59_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Aluminum, Amorphous, Total Non-Crystalline Iron",log1p,28260,0.084,-0.002,0.875,0.934,1.778
al.ox_usda.a59_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Aluminum, Amorphous, Total Non-Crystalline Iron",log1p,28260,0.084,-0.003,0.877,0.935,1.791
al.ox_usda.a59_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Aluminum, Amorphous, Total Non-Crystalline Iron",log1p,1354,0.129,-0.003,0.633,0.78,0.938
awc.33.1500kPa_usda.c80_w.frac,mir_mlr3..eml_kssl_na_v1.2,"Available Water Content, Difference 33-1500 kPa",log1p,16175,0.045,-0,0.46,0.611,1.554
awc.33.1500kPa_usda.c80_w.frac,mir_mlr3..eml_ossl_na_v1.2,"Available Water Content, Difference 33-1500 kPa",log1p,16175,0.045,-0.001,0.451,0.605,1.543
awc.33.1500kPa_usda.c80_w.frac,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Available Water Content, Difference 33-1500 kPa",log1p,931,0.059,-0.001,0.103,0.303,1.224
b.ext_mel3_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Boron, Extractable, Mehlich3",log1p,2093,0.183,-0.004,0.747,0.848,1.485
bd_usda.a4_g.cm3,mir_mlr3..eml_kssl_na_v1.2,"Bulk Density, <2mm fraction, Clod",log1p,40136,0.132,0.001,0.703,0.834,1.846
bd_usda.a4_g.cm3,mir_mlr3..eml_ossl_na_v1.2,"Bulk Density, <2mm fraction, Clod",log1p,41484,0.13,0.002,0.705,0.833,1.867
bd_usda.a4_g.cm3,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Bulk Density, <2mm fraction, Clod",log1p,1085,0.095,0,0.308,0.538,1.268
bd_usda.a4_g.cm3,visnir_mlr3..eml_kssl_na_v1.2,"Bulk Density, <2mm fraction, Clod",log1p,19752,0.149,0.001,0.592,0.757,1.614
bd_usda.a4_g.cm3,visnir_mlr3..eml_ossl_na_v1.2,"Bulk Density, <2mm fraction, Clod",log1p,20751,0.143,0.003,0.614,0.757,1.665
c.tot_usda.a622_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Carbon, Total NCS",log1p,76595,0.121,-0,0.989,0.994,10.357
c.tot_usda.a622_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Carbon, Total NCS",log1p,80698,0.134,-0,0.986,0.992,8.974
c.tot_usda.a622_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Carbon, Total NCS",log1p,1976,0.32,-0.005,0.678,0.815,2.458
c.tot_usda.a622_w.pct,visnir_mlr3..eml_kssl_na_v1.2,"Carbon, Total NCS",log1p,19807,0.284,0.002,0.956,0.977,8.848
c.tot_usda.a622_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Carbon, Total NCS",log1p,19807,0.277,-0,0.958,0.978,9.085
ca.ext_usda.a1059_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Calcium, Extractable, Mehlich3",log1p,1534,0.603,0.039,0.885,0.94,3.435
ca.ext_usda.a1059_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Calcium, Extractable, Mehlich3",log1p,3773,0.524,0.003,0.898,0.945,4.222
ca.ext_usda.a722_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,"Calcium, Extractable, NH4OAc",log1p,53232,0.323,-0.002,0.94,0.966,5.886
ca.ext_usda.a722_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,"Calcium, Extractable, NH4OAc",log1p,57085,0.382,0.011,0.915,0.955,5.101
ca.ext_usda.a722_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Calcium, Extractable, NH4OAc",log1p,1976,0.686,0,0.727,0.823,2.781
ca.ext_usda.a722_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,"Calcium, Extractable, NH4OAc",log1p,3723,0.652,-0.001,0.75,0.858,3.754
caco3_usda.a54_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Carbonate, <2mm Fraction",log1p,27476,0.267,0.006,0.955,0.977,8.47
caco3_usda.a54_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Carbonate, <2mm Fraction",log1p,29225,0.244,-0.001,0.963,0.98,9.243
caco3_usda.a54_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Carbonate, <2mm Fraction",log1p,665,0.796,0.013,0.491,0.673,2.475
caco3_usda.a54_w.pct,visnir_mlr3..eml_kssl_na_v1.2,"Carbonate, <2mm Fraction",log1p,9213,0.465,-0.011,0.827,0.893,2.459
caco3_usda.a54_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Carbonate, <2mm Fraction",log1p,51094,0.419,-0.004,0.884,0.936,2.697
cec_usda.a723_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log1p,53227,0.222,-0.001,0.944,0.965,4.753
cec_usda.a723_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log1p,57651,0.215,-0,0.945,0.969,4.988
cec_usda.a723_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log1p,1976,0.429,0.005,0.635,0.749,2.202
cec_usda.a723_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,"CEC, pH 7.0, NH4OAc, 2M KCl displacement",log1p,22687,0.419,0.006,0.707,0.807,2.421
cf_usda.c236_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Coarse Fragments, Greater 2mm",log1p,55881,0.918,-0.012,0.563,0.699,2.265
