soil_property,model_name,unit_transform,n,rmse,bias,rsq,nse,kge,kge_r,kge_alpha,kge_beta,ccc,rpiq
acidity_usda.a795_cmolc.kg,mir_cubist_kssl_na_v1.2,log1p,28550,0.262,-0.006,0.927,0.927,0.916,0.963,0.925,1.003,0.962,4.378
acidity_usda.a795_cmolc.kg,mir_cubist_ossl_na_v1.2,log1p,30061,0.273,-0.01,0.927,0.927,0.898,0.963,0.905,1.005,0.962,4.355
acidity_usda.a795_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,1576,0.505,-0.012,0.651,0.65,0.57,0.807,0.616,1.005,0.784,2.22
acidity_usda.a795_cmolc.kg,visnir_cubist_ossl_na_v1.2,log1p,1511,0.424,0.018,0.652,0.647,0.504,0.808,0.543,0.977,0.771,2.593
aggstb_usda.a1_w.pct,mir_cubist_kssl_na_v1.2,log1p,3218,0.636,-0.04,0.687,0.683,0.571,0.829,0.607,1.013,0.803,2.918
aggstb_usda.a1_w.pct,mir_cubist_ossl_na_v1.2,log1p,3218,0.638,-0.044,0.685,0.681,0.571,0.827,0.608,1.014,0.802,2.909
al.dith_usda.a65_w.pct,mir_cubist_kssl_na_v1.2,log1p,31135,0.055,0.002,0.909,0.909,0.849,0.954,0.857,0.986,0.951,2.701
al.dith_usda.a65_w.pct,mir_cubist_ossl_na_v1.2,log1p,31135,0.055,0.002,0.911,0.91,0.849,0.954,0.857,0.985,0.951,2.721
al.dith_usda.a65_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1773,0.085,0.004,0.741,0.735,0.601,0.861,0.627,0.972,0.837,1.485
al.ext_usda.a1056_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.519,-0.015,0.922,0.921,0.883,0.96,0.89,1.003,0.958,2.905
al.ext_usda.a1056_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3773,0.377,-0.017,0.92,0.919,0.864,0.959,0.871,1.003,0.957,2.688
al.ext_usda.a69_cmolc.kg,mir_cubist_kssl_na_v1.2,log1p,14169,0.228,-0.001,0.903,0.903,0.871,0.95,0.881,1.001,0.948,4.799
al.ext_usda.a69_cmolc.kg,mir_cubist_ossl_na_v1.2,log1p,15710,0.233,-0.002,0.898,0.898,0.851,0.948,0.86,1.002,0.945,4.744
al.ext_usda.a69_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,716,0.454,0.031,0.54,0.538,0.454,0.735,0.524,0.963,0.697,2.163
al.ext_usda.a69_cmolc.kg,visnir_cubist_ossl_na_v1.2,log1p,1541,0.426,0.016,0.629,0.625,0.49,0.793,0.535,0.975,0.756,2.657
al.ox_usda.a59_w.pct,mir_cubist_kssl_na_v1.2,log1p,28260,0.058,0.003,0.942,0.941,0.895,0.97,0.9,0.986,0.969,2.598
al.ox_usda.a59_w.pct,mir_cubist_ossl_na_v1.2,log1p,28260,0.058,0.003,0.942,0.941,0.887,0.971,0.892,0.987,0.969,2.601
al.ox_usda.a59_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1354,0.104,0.005,0.77,0.763,0.615,0.877,0.636,0.972,0.855,1.168
awc.33.1500kPa_usda.c80_w.frac,mir_cubist_kssl_na_v1.2,log1p,16175,0.044,0.001,0.479,0.471,0.293,0.692,0.364,0.992,0.612,1.574
awc.33.1500kPa_usda.c80_w.frac,mir_cubist_ossl_na_v1.2,log1p,16175,0.044,0.001,0.482,0.474,0.297,0.694,0.367,0.992,0.615,1.578
awc.33.1500kPa_usda.c80_w.frac,nir.neospectra_cubist_ossl_na_v1.2,log1p,931,0.053,0,0.166,0.163,0.014,0.407,0.212,0.999,0.31,1.372
b.ext_mel3_mg.kg,mir_cubist_ossl_na_v1.2,log1p,2093,0.165,0.006,0.8,0.793,0.643,0.894,0.66,0.973,0.875,1.648
bd_usda.a4_g.cm3,mir_cubist_kssl_na_v1.2,log1p,40136,0.12,-0.006,0.753,0.752,0.705,0.868,0.737,1.008,0.857,2.031
bd_usda.a4_g.cm3,mir_cubist_ossl_na_v1.2,log1p,41484,0.119,-0.006,0.752,0.751,0.705,0.867,0.736,1.008,0.857,2.041
bd_usda.a4_g.cm3,nir.neospectra_cubist_ossl_na_v1.2,log1p,1085,0.082,-0.007,0.446,0.442,0.361,0.668,0.454,1.008,0.617,1.463
bd_usda.a4_g.cm3,visnir_cubist_kssl_na_v1.2,log1p,19752,0.135,-0.009,0.664,0.662,0.565,0.815,0.607,1.013,0.79,1.781
bd_usda.a4_g.cm3,visnir_cubist_ossl_na_v1.2,log1p,20751,0.132,-0.009,0.67,0.667,0.566,0.818,0.606,1.012,0.793,1.794
c.tot_usda.a622_w.pct,mir_cubist_kssl_na_v1.2,log1p,76595,0.102,0.003,0.992,0.992,0.992,0.996,0.994,0.998,0.996,12.251
c.tot_usda.a622_w.pct,mir_cubist_ossl_na_v1.2,log1p,80698,0.103,0.002,0.991,0.991,0.993,0.996,0.995,0.998,0.996,11.756
c.tot_usda.a622_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.272,-0.005,0.766,0.766,0.73,0.875,0.76,1.005,0.867,2.892
c.tot_usda.a622_w.pct,visnir_cubist_kssl_na_v1.2,log1p,19807,0.238,-0.009,0.969,0.969,0.961,0.984,0.965,1.005,0.984,10.544
c.tot_usda.a622_w.pct,visnir_cubist_ossl_na_v1.2,log1p,19807,0.231,-0.007,0.971,0.971,0.968,0.985,0.972,1.005,0.985,10.908
ca.ext_usda.a1059_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.434,-0.022,0.941,0.94,0.902,0.97,0.906,1.003,0.969,4.778
ca.ext_usda.a1059_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3773,0.413,-0.02,0.937,0.936,0.886,0.968,0.89,1.003,0.966,5.355
ca.ext_usda.a722_cmolc.kg,mir_cubist_kssl_na_v1.2,log1p,53232,0.27,-0.01,0.957,0.956,0.931,0.978,0.934,1.004,0.977,7.034
ca.ext_usda.a722_cmolc.kg,mir_cubist_ossl_na_v1.2,log1p,57085,0.278,-0.012,0.955,0.955,0.931,0.977,0.935,1.005,0.977,7.014
ca.ext_usda.a722_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.579,-0.016,0.801,0.8,0.74,0.895,0.763,1.007,0.887,3.297
ca.ext_usda.a722_cmolc.kg,visnir_cubist_ossl_na_v1.2,log1p,3723,0.505,-0.007,0.853,0.85,0.745,0.924,0.757,1.004,0.915,4.847
