soil_property,description,description_url,model_name,spectra_type,subset,geo,unit_transform,10cv_predictions,error_model,error_predictions,model,performance_summary,train_data,validation_plot,pca_model_url,pca_scores_url
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#acidity_usda.a795_cmolc.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/cvpred_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/error_modelmir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/error_predmir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/model_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/perfmetrics_mir_cubist_kssl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/task_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/valplot_mir_cubist_kssl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_mir_cubist_kssl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_mir_cubist_kssl_v1.2.qs
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#acidity_usda.a795_cmolc.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/cvpred_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/error_modelmir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/error_predmir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/model_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/perfmetrics_mir_cubist_ossl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/task_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/valplot_mir_cubist_ossl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_mir_cubist_ossl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_mir_cubist_ossl_v1.2.qs
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#acidity_usda.a795_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/cvpred_nir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/error_modelnir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/error_prednir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/model_nir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/perfmetrics_nir.neospectra_cubist_ossl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/task_nir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/valplot_nir.neospectra_cubist_ossl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_nir.neospectra_cubist_ossl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_nir.neospectra_cubist_ossl_v1.2.qs
acidity_usda.a795_cmolc.kg,"Acidity, BaCl2-TEA Extractable, pH 8.2",https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#acidity_usda.a795_cmolc.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/cvpred_visnir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/error_modelvisnir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/error_predvisnir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/model_visnir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/perfmetrics_visnir_cubist_ossl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/task_visnir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..acidity_usda.a795_cmolc.kg/valplot_visnir_cubist_ossl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_visnir_cubist_ossl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_visnir_cubist_ossl_v1.2.qs
aggstb_usda.a1_w.pct,Aggregate Stability,https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#aggstb_usda.a1_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/cvpred_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/error_modelmir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/error_predmir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/model_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/perfmetrics_mir_cubist_kssl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/task_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/valplot_mir_cubist_kssl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_mir_cubist_kssl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_mir_cubist_kssl_v1.2.qs
aggstb_usda.a1_w.pct,Aggregate Stability,https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#aggstb_usda.a1_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/cvpred_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/error_modelmir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/error_predmir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/model_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/perfmetrics_mir_cubist_ossl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/task_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..aggstb_usda.a1_w.pct/valplot_mir_cubist_ossl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_mir_cubist_ossl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_mir_cubist_ossl_v1.2.qs
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#al.dith_usda.a65_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/cvpred_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/error_modelmir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/error_predmir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/model_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/perfmetrics_mir_cubist_kssl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/task_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/valplot_mir_cubist_kssl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_mir_cubist_kssl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_mir_cubist_kssl_v1.2.qs
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#al.dith_usda.a65_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/cvpred_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/error_modelmir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/error_predmir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/model_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/perfmetrics_mir_cubist_ossl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/task_mir_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/valplot_mir_cubist_ossl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_mir_cubist_ossl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_mir_cubist_ossl_v1.2.qs
al.dith_usda.a65_w.pct,"Aluminum, Crystalline, Total Pedogenic Iron",https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#al.dith_usda.a65_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/cvpred_nir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/error_modelnir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/error_prednir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/model_nir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/perfmetrics_nir.neospectra_cubist_ossl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/task_nir.neospectra_cubist_ossl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.dith_usda.a65_w.pct/valplot_nir.neospectra_cubist_ossl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_nir.neospectra_cubist_ossl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_nir.neospectra_cubist_ossl_v1.2.qs
al.ext_usda.a1056_mg.kg,"Aluminum, Extractable, Mehlich3",https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#al.ext_usda.a1056_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na,log1p,https://storage.googleapis.com/soilspec4gg-public/models/log..al.ext_usda.a1056_mg.kg/cvpred_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.ext_usda.a1056_mg.kg/error_modelmir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.ext_usda.a1056_mg.kg/error_predmir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.ext_usda.a1056_mg.kg/model_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.ext_usda.a1056_mg.kg/perfmetrics_mir_cubist_kssl_na_v1.2.csv,https://storage.googleapis.com/soilspec4gg-public/models/log..al.ext_usda.a1056_mg.kg/task_mir_cubist_kssl_na_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/log..al.ext_usda.a1056_mg.kg/valplot_mir_cubist_kssl_na_v1.2.png,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/mpca_mir_cubist_kssl_v1.2.qs,https://storage.googleapis.com/soilspec4gg-public/models/pca.ossl/pca_scores_mir_cubist_kssl_v1.2.qs
