variable,variable_name,soil_property_description,model_name,model_description,spectra_type,subset,geo,version,model_path,model_summary,model_scatterplot,model_url,pca_model_mir,pca_model_visnir
silt.tot_usda.c62_w.pct,"Silt, Total (w.pct)","https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Silt, Total (w.pct)",mir_mlr..eml_kssl_ll_v1.2.rds,"Ensemble ML model to predict Silt, Total (w.pct)",mir,kssl,ll,v1.2,/mnt/soilspec4gg/ossl/ossl_models/silt.tot_usda.c62_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/mir_mlr..eml_kssl_ll_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/ap.mir_mlr..eml_kssl_ll_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/mir_mlr..eml_kssl_ll_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_mir_kssl_v1.2.rds,
silt.tot_usda.c62_w.pct,"Silt, Total (w.pct)","https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Silt, Total (w.pct)",mir_mlr..eml_kssl_na_v1.2.rds,"Ensemble ML model to predict Silt, Total (w.pct)",mir,kssl,na,v1.2,/mnt/soilspec4gg/ossl/ossl_models/silt.tot_usda.c62_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/mir_mlr..eml_kssl_na_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/ap.mir_mlr..eml_kssl_na_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/mir_mlr..eml_kssl_na_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_mir_kssl_v1.2.rds,
silt.tot_usda.c62_w.pct,"Silt, Total (w.pct)","https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Silt, Total (w.pct)",mir_mlr..eml_ossl_ll_v1.2.rds,"Ensemble ML model to predict Silt, Total (w.pct)",mir,ossl,ll,v1.2,/mnt/soilspec4gg/ossl/ossl_models/silt.tot_usda.c62_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/mir_mlr..eml_ossl_ll_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/ap.mir_mlr..eml_ossl_ll_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/mir_mlr..eml_ossl_ll_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_mir_ossl_v1.2.rds,
silt.tot_usda.c62_w.pct,"Silt, Total (w.pct)","https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Silt, Total (w.pct)",nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,"Ensemble ML model to predict Silt, Total (w.pct)",nir.neospectra,ossl,ll,v1.2,/mnt/soilspec4gg/ossl/ossl_models/silt.tot_usda.c62_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/nir.neospectra_mlr..eml_ossl_ll_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/ap.nir.neospectra_mlr..eml_ossl_ll_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_nir_neospectra_v1.2.rds
silt.tot_usda.c62_w.pct,"Silt, Total (w.pct)","https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Silt, Total (w.pct)",nir.neospectra_mlr..eml_ossl_na_v1.2.rds,"Ensemble ML model to predict Silt, Total (w.pct)",nir.neospectra,ossl,na,v1.2,/mnt/soilspec4gg/ossl/ossl_models/silt.tot_usda.c62_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/nir.neospectra_mlr..eml_ossl_na_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/ap.nir.neospectra_mlr..eml_ossl_na_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/nir.neospectra_mlr..eml_ossl_na_v1.2.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_nir_neospectra_v1.2.rds
silt.tot_usda.c62_w.pct,"Silt, Total (w.pct)","https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Silt, Total (w.pct)",visnir.mir_mlr..eml_ossl_ll_v1.2.rds,"Ensemble ML model to predict Silt, Total (w.pct)",visnir.mir,ossl,ll,v1.2,/mnt/soilspec4gg/ossl/ossl_models/silt.tot_usda.c62_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/visnir.mir_mlr..eml_ossl_ll_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/ap.visnir.mir_mlr..eml_ossl_ll_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/visnir.mir_mlr..eml_ossl_ll_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_mir_ossl_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_visnir_ossl_v1.2.rds
silt.tot_usda.c62_w.pct,"Silt, Total (w.pct)","https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Silt, Total (w.pct)",visnir.mir_mlr..eml_ossl_na_v1.2.rds,"Ensemble ML model to predict Silt, Total (w.pct)",visnir.mir,ossl,na,v1.2,/mnt/soilspec4gg/ossl/ossl_models/silt.tot_usda.c62_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/visnir.mir_mlr..eml_ossl_na_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/ap.visnir.mir_mlr..eml_ossl_na_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.c62_w.pct/visnir.mir_mlr..eml_ossl_na_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_mir_ossl_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_visnir_ossl_v1.2.rds
clay.tot_usda.a334_w.pct,Clay (w.pct),https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Clay (w.pct),mir_mlr..eml_kssl_ll_v1.2.rds,Ensemble ML model to predict Clay (w.pct),mir,kssl,ll,v1.2,/mnt/soilspec4gg/ossl/ossl_models/clay.tot_usda.a334_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/mir_mlr..eml_kssl_ll_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/ap.mir_mlr..eml_kssl_ll_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/mir_mlr..eml_kssl_ll_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_mir_kssl_v1.2.rds,
clay.tot_usda.a334_w.pct,Clay (w.pct),https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Clay (w.pct),mir_mlr..eml_kssl_na_v1.2.rds,Ensemble ML model to predict Clay (w.pct),mir,kssl,na,v1.2,/mnt/soilspec4gg/ossl/ossl_models/clay.tot_usda.a334_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/mir_mlr..eml_kssl_na_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/ap.mir_mlr..eml_kssl_na_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/mir_mlr..eml_kssl_na_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_mir_kssl_v1.2.rds,
clay.tot_usda.a334_w.pct,Clay (w.pct),https://soilspectroscopy.github.io/ossl-manual/ossl-database-description.html#Clay (w.pct),mir_mlr..eml_ossl_ll_v1.2.rds,Ensemble ML model to predict Clay (w.pct),mir,ossl,ll,v1.2,/mnt/soilspec4gg/ossl/ossl_models/clay.tot_usda.a334_w.pct,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/mir_mlr..eml_ossl_ll_v1.2.rds_resultsFit.txt,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/ap.mir_mlr..eml_ossl_ll_v1.2.rds.png,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.a334_w.pct/mir_mlr..eml_ossl_ll_v1.2.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/pca_mir_ossl_v1.2.rds,
