soil_property,model_name,n,rmse,bias,rsq,ccc,rpiq
silt.tot_usda.c62_w.pct,mir_mlr..eml_kssl_ll_v1.2.rds,33768,8.6309590628796,6.388319550366217e-16,0.8033715415173374,0.8909661963961011,3.290480211190427
silt.tot_usda.c62_w.pct,mir_mlr..eml_kssl_na_v1.2.rds,50013,8.712455180774926,2.0833380675396616e-15,0.8173308848710357,0.8994849442940449,3.500735368751382
silt.tot_usda.c62_w.pct,mir_mlr..eml_ossl_ll_v1.2.rds,39554,9.03801075545716,4.697550826749919e-17,0.7917910456942552,0.8837984178980709,3.341443246431767
silt.tot_usda.c62_w.pct,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,15.865418703754518,-6.151341705343624e-16,0.4125063181846191,0.5840771299554682,1.9570867040938589
silt.tot_usda.c62_w.pct,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,16.78428622100213,3.4574232815452246e-15,0.30548887336069946,0.46800685872455366,1.781428152874694
silt.tot_usda.c62_w.pct,visnir.mir_mlr..eml_ossl_ll_v1.2.rds,3387,10.147844599611153,1.1590636596027615e-16,0.7453615677508507,0.8541056266196534,2.921802724603817
silt.tot_usda.c62_w.pct,visnir.mir_mlr..eml_ossl_na_v1.2.rds,4485,11.184087544752082,-1.0139294334146355e-16,0.7188698187210812,0.836444750953803,2.80756028369376
clay.tot_usda.a334_w.pct,mir_mlr..eml_kssl_ll_v1.2.rds,33762,5.523571333623198,-5.099357409948234e-16,0.8789592263115197,0.9355809471575987,4.059616260136394
clay.tot_usda.a334_w.pct,mir_mlr..eml_kssl_na_v1.2.rds,50007,5.5010941089504035,4.14294995059194e-16,0.8840226161239512,0.9384416180127112,4.087577771740812
clay.tot_usda.a334_w.pct,mir_mlr..eml_ossl_ll_v1.2.rds,39570,6.785508904654767,1.483944800920514e-17,0.8530747993875982,0.920712752307162,3.510845366905028
clay.tot_usda.a334_w.pct,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,8.605621787062551,-8.499940706788597e-17,0.6061156125267249,0.754759629754411,2.2194198133031633
clay.tot_usda.a334_w.pct,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,8.781320103451591,-3.5578423501297806e-16,0.5931896964126958,0.7446567069173883,2.1631613784963437
clay.tot_usda.a334_w.pct,visnir.mir_mlr..eml_ossl_ll_v1.2.rds,3393,9.844777232075238,-4.927780356868511e-16,0.803891354136602,0.8912857775975861,3.270769794067994
clay.tot_usda.a334_w.pct,visnir.mir_mlr..eml_ossl_na_v1.2.rds,4491,9.162263524438952,-3.9009840411010846e-16,0.8227325369515814,0.9027463111264318,3.4380150621053973
sand.tot_usda.c60_w.pct,mir_mlr..eml_kssl_ll_v1.2.rds,33767,9.800633565208635,-5.665698214333728e-16,0.87697003243145,0.9344528865976757,4.734387801694353
sand.tot_usda.c60_w.pct,mir_mlr..eml_kssl_na_v1.2.rds,50012,10.078794616525489,-4.969941829022635e-16,0.8794887413753295,0.9358808297321932,4.841848837755468
sand.tot_usda.c60_w.pct,mir_mlr..eml_ossl_ll_v1.2.rds,39501,10.666228247270826,-7.819201182166723e-16,0.8543245223861121,0.9214401385220128,4.3689295709496525
sand.tot_usda.c60_w.pct,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,21.244715227275726,-9.206089627044879e-17,0.4470588966629622,0.617886248713051,2.2546783747189045
sand.tot_usda.c60_w.pct,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,21.82417651405573,2.8002791268885527e-15,0.39621359859597116,0.5675544185995643,2.145556326940567
sand.tot_usda.c60_w.pct,visnir.mir_mlr..eml_ossl_ll_v1.2.rds,3334,12.411720499816768,1.193473101456677e-16,0.8184594112066543,0.9001679181429277,4.060677969725796
sand.tot_usda.c60_w.pct,visnir.mir_mlr..eml_ossl_na_v1.2.rds,4432,12.828065476084157,8.915852412558342e-16,0.8063433524826341,0.8927907879467073,3.9366808732110887
log..oc_usda.c729_w.pct,mir_mlr..eml_kssl_ll_v1.2.rds,36764,0.13116287386652553,-3.568875994184556e-17,0.9797125694568686,0.9897523353358829,6.76489595602978
log..oc_usda.c729_w.pct,mir_mlr..eml_kssl_na_v1.2.rds,75929,0.14426168320059593,1.825648583507428e-17,0.9844351795867301,0.9921565488389943,8.691082497689303
log..oc_usda.c729_w.pct,mir_mlr..eml_ossl_ll_v1.2.rds,42134,0.14012979094984007,-1.609578332444764e-17,0.9748338403814252,0.987256568576061,6.046452618416317
log..oc_usda.c729_w.pct,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,0.2851204043931725,5.6557297779785625e-18,0.7574005773331791,0.8619555348986163,2.9126613979075318
log..oc_usda.c729_w.pct,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,0.3024782170639242,-5.734419911477988e-18,0.7173783454651037,0.8354342505358913,2.6843912429287524
log..oc_usda.c729_w.pct,visnir_mlr..eml_ossl_na_v1.2.rds,19747,0.402416633019899,-3.5297524652867057e-16,0.9153366830944615,0.9557971621110736,6.494927221227191
log..oc_usda.c729_w.pct,visnir.mir_mlr..eml_ossl_ll_v1.2.rds,3885,0.16665479846899503,-2.2211604784810888e-17,0.9757563736191134,0.9877294454394302,5.1523366079211135
log..oc_usda.c729_w.pct,visnir.mir_mlr..eml_ossl_na_v1.2.rds,14294,0.16448460588050554,-7.055642468611977e-17,0.9876736508991525,0.9937986051707877,18.90070444787521
log..n.tot_usda.a623_w.pct,mir_mlr..eml_kssl_ll_v1.2.rds,37185,0.062238758847118596,-5.73296135438456e-19,0.9307151674919287,0.9641144205656842,2.0351206671297564
log..n.tot_usda.a623_w.pct,mir_mlr..eml_kssl_na_v1.2.rds,76594,0.06747580985548977,1.5374387114451366e-17,0.9564153994754424,0.97772221557025,3.2019311630889176
log..n.tot_usda.a623_w.pct,mir_mlr..eml_ossl_ll_v1.2.rds,40607,0.06036684543293746,5.413454795374715e-19,0.9301943290767193,0.9638349000037363,2.0115852829701906
log..n.tot_usda.a623_w.pct,nir.neospectra_mlr..eml_ossl_ll_v1.2.rds,1698,0.08352179930766754,1.0063030764647558e-18,0.5676769211963303,0.7242269290577075,1.7155832665202329
log..n.tot_usda.a623_w.pct,nir.neospectra_mlr..eml_ossl_na_v1.2.rds,1976,0.08116743979523167,9.512886430002368e-18,0.5737566034484659,0.7291554516006241,1.7110921220250808
log..n.tot_usda.a623_w.pct,visnir_mlr..eml_ossl_na_v1.2.rds,19806,0.1638137893191379,-2.613699085161541e-17,0.8213492056427573,0.9019129369569758,3.208220500774142
log..n.tot_usda.a623_w.pct,visnir.mir_mlr..eml_ossl_na_v1.2.rds,10605,0.11196681840495068,-9.37290477826224e-18,0.9321806268161449,0.9649000863363343,6.917904277839914
log..caco3_usda.a54_w.pct,mir_mlr..eml_kssl_ll_v1.2.rds,13351,0.21104643734505693,5.508289502746638e-17,0.9724199938630188,0.986017173714121,11.493782995407836
log..caco3_usda.a54_w.pct,mir_mlr..eml_kssl_na_v1.2.rds,27476,0.21820970181231206,-4.319509438507397e-18,0.9696401910596578,0.9845861142161157,10.36936145880248
log..caco3_usda.a54_w.pct,mir_mlr..eml_ossl_ll_v1.2.rds,14390,0.25704715059046584,-5.819219710378904e-17,0.9587599608078538,0.9789458432797773,9.371649647339911
log..caco3_usda.a54_w.pct,visnir_mlr..eml_ossl_na_v1.2.rds,9213,0.7536021524805511,3.5308297646279266e-18,0.52634740712833,0.6896823156644268,1.5174625103575545
