soil_property,dataset,n_mir,n_neospectra,n_visnir
acidity_usda.a795_cmolc.kg,AFSIS1.SSL,0,0,0
acidity_usda.a795_cmolc.kg,AFSIS2.SSL,0,0,0
acidity_usda.a795_cmolc.kg,CAF.SSL,0,0,0
acidity_usda.a795_cmolc.kg,GARRETT.SSL,0,0,0
acidity_usda.a795_cmolc.kg,ICRAF.ISRIC,1511,0,1511
acidity_usda.a795_cmolc.kg,KSSL.SSL,28550,1576,0
acidity_usda.a795_cmolc.kg,LUCAS.SSL,0,0,0
acidity_usda.a795_cmolc.kg,LUCAS.WOODWELL.SSL,0,0,0
acidity_usda.a795_cmolc.kg,OSSL,30061,1576,1511
acidity_usda.a795_cmolc.kg,SCHIEDUNG.SSL,0,0,0
acidity_usda.a795_cmolc.kg,SERBIA.SSL,0,0,0
aggstb_usda.a1_w.pct,AFSIS1.SSL,0,0,0
aggstb_usda.a1_w.pct,AFSIS2.SSL,0,0,0
aggstb_usda.a1_w.pct,CAF.SSL,0,0,0
aggstb_usda.a1_w.pct,GARRETT.SSL,0,0,0
aggstb_usda.a1_w.pct,ICRAF.ISRIC,0,0,0
aggstb_usda.a1_w.pct,KSSL.SSL,3218,197,0
aggstb_usda.a1_w.pct,LUCAS.SSL,0,0,0
aggstb_usda.a1_w.pct,LUCAS.WOODWELL.SSL,0,0,0
aggstb_usda.a1_w.pct,OSSL,3218,197,0
aggstb_usda.a1_w.pct,SCHIEDUNG.SSL,0,0,0
aggstb_usda.a1_w.pct,SERBIA.SSL,0,0,0
al.dith_usda.a65_w.pct,AFSIS1.SSL,0,0,0
al.dith_usda.a65_w.pct,AFSIS2.SSL,0,0,0
al.dith_usda.a65_w.pct,CAF.SSL,0,0,0
al.dith_usda.a65_w.pct,GARRETT.SSL,0,0,0
al.dith_usda.a65_w.pct,ICRAF.ISRIC,0,0,0
al.dith_usda.a65_w.pct,KSSL.SSL,31135,1773,0
al.dith_usda.a65_w.pct,LUCAS.SSL,0,0,0
al.dith_usda.a65_w.pct,LUCAS.WOODWELL.SSL,0,0,0
al.dith_usda.a65_w.pct,OSSL,31135,1773,0
al.dith_usda.a65_w.pct,SCHIEDUNG.SSL,0,0,0
al.dith_usda.a65_w.pct,SERBIA.SSL,0,0,0
al.ext_aquaregia_g.kg,AFSIS1.SSL,0,0,0
al.ext_aquaregia_g.kg,AFSIS2.SSL,0,0,0
al.ext_aquaregia_g.kg,CAF.SSL,493,0,0
al.ext_aquaregia_g.kg,GARRETT.SSL,0,0,0
al.ext_aquaregia_g.kg,ICRAF.ISRIC,0,0,0
al.ext_aquaregia_g.kg,KSSL.SSL,0,0,0
al.ext_aquaregia_g.kg,LUCAS.SSL,0,0,0
al.ext_aquaregia_g.kg,LUCAS.WOODWELL.SSL,0,0,0
al.ext_aquaregia_g.kg,OSSL,493,0,0
al.ext_aquaregia_g.kg,SCHIEDUNG.SSL,0,0,0
al.ext_aquaregia_g.kg,SERBIA.SSL,0,0,0
al.ext_usda.a1056_mg.kg,AFSIS1.SSL,1904,0,0
al.ext_usda.a1056_mg.kg,AFSIS2.SSL,151,0,0
al.ext_usda.a1056_mg.kg,CAF.SSL,0,0,0
al.ext_usda.a1056_mg.kg,GARRETT.SSL,184,0,0
al.ext_usda.a1056_mg.kg,ICRAF.ISRIC,0,0,0
al.ext_usda.a1056_mg.kg,KSSL.SSL,1534,76,0
al.ext_usda.a1056_mg.kg,LUCAS.SSL,0,0,0
al.ext_usda.a1056_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
al.ext_usda.a1056_mg.kg,OSSL,3773,76,0
al.ext_usda.a1056_mg.kg,SCHIEDUNG.SSL,0,0,0
al.ext_usda.a1056_mg.kg,SERBIA.SSL,0,0,0
al.ext_usda.a69_cmolc.kg,AFSIS1.SSL,0,0,0
al.ext_usda.a69_cmolc.kg,AFSIS2.SSL,0,0,0
al.ext_usda.a69_cmolc.kg,CAF.SSL,0,0,0
al.ext_usda.a69_cmolc.kg,GARRETT.SSL,0,0,0
al.ext_usda.a69_cmolc.kg,ICRAF.ISRIC,1541,0,1541
al.ext_usda.a69_cmolc.kg,KSSL.SSL,14169,716,0
al.ext_usda.a69_cmolc.kg,LUCAS.SSL,0,0,0
al.ext_usda.a69_cmolc.kg,LUCAS.WOODWELL.SSL,0,0,0
al.ext_usda.a69_cmolc.kg,OSSL,15710,716,1541
al.ext_usda.a69_cmolc.kg,SCHIEDUNG.SSL,0,0,0
al.ext_usda.a69_cmolc.kg,SERBIA.SSL,0,0,0
al.ox_usda.a59_w.pct,AFSIS1.SSL,0,0,0
